image_id,seed,threshold,best_clip_similarity
image_01,0,0.000,0.541260123253
image_01,1,0.000,0.540974795818
image_01,2,0.000,0.548666119576
image_01,0,0.001,0.558610916138
image_01,1,0.001,0.548669636250
image_01,2,0.001,0.552768647671
image_01,0,0.002,0.555363655090
image_01,1,0.002,0.567011177540
image_01,2,0.002,0.560470163822
image_01,0,0.003,0.555403232574
image_01,1,0.003,0.558550715446
image_01,2,0.003,0.550109446049
image_01,0,0.004,0.552230477333
image_01,1,0.004,0.551651477814
image_01,2,0.004,0.574092030525
image_01,0,0.005,0.572072923183
image_01,1,0.005,0.564600944519
image_01,2,0.005,0.565953135490
image_01,0,0.006,0.558430194855
image_01,1,0.006,0.554068624973
image_01,2,0.006,0.571736156940
image_01,0,0.007,0.567539215088
image_01,1,0.007,0.554850995541
image_01,2,0.007,0.555906474590
image_01,0,0.008,0.565071344376
image_01,1,0.008,0.563003599644
image_01,2,0.008,0.557732462883
image_01,0,0.009,0.561067461967
image_01,1,0.009,0.546706736088
image_01,2,0.009,0.548217952251
image_01,0,0.010,0.545393466949
image_01,1,0.010,0.548517942429
image_01,2,0.010,0.555909097195
image_01,0,0.011,0.526313900948
image_01,1,0.011,0.526004433632
image_01,2,0.011,0.514914691448
image_01,0,0.012,0.338069498539
image_01,1,0.012,0.335768342018
image_01,2,0.012,0.338933944702
image_02,0,0.000,0.506673455238
image_02,1,0.000,0.474177122116
image_02,2,0.000,0.482854843140
image_02,0,0.001,0.486818552017
image_02,1,0.001,0.508609294891
image_02,2,0.001,0.496494174004
image_02,0,0.002,0.506318628788
image_02,1,0.002,0.493128538132
image_02,2,0.002,0.503052413464
image_02,0,0.003,0.503507316113
image_02,1,0.003,0.507405579090
image_02,2,0.003,0.512899637222
image_02,0,0.004,0.510393798351
image_02,1,0.004,0.509328544140
image_02,2,0.004,0.516762077808
image_02,0,0.005,0.558203935623
image_02,1,0.005,0.533249020576
image_02,2,0.005,0.524624407291
image_02,0,0.006,0.557642161846
image_02,1,0.006,0.532569229603
image_02,2,0.006,0.527238786221
image_02,0,0.007,0.498455643654
image_02,1,0.007,0.540610909462
image_02,2,0.007,0.511008143425
image_02,0,0.008,0.522271633148
image_02,1,0.008,0.528384327888
image_02,2,0.008,0.525573074818
image_02,0,0.009,0.520994067192
image_02,1,0.009,0.519716560841
image_02,2,0.009,0.523068666458
image_02,0,0.010,0.507556676865
image_02,1,0.010,0.505032658577
image_02,2,0.010,0.513027787209
image_02,0,0.011,0.460035741329
image_02,1,0.011,0.465889632702
image_02,2,0.011,0.485009312630
image_02,0,0.012,0.316898822784
image_02,1,0.012,0.324296712875
image_02,2,0.012,0.317153215408
image_03,0,0.000,0.457663565874
image_03,1,0.000,0.434150278568
image_03,2,0.000,0.476359426975
image_03,0,0.001,0.472297847271
image_03,1,0.001,0.493020176888
image_03,2,0.001,0.468350529671
image_03,0,0.002,0.476290494204
image_03,1,0.002,0.479695111513
image_03,2,0.002,0.478808343410
image_03,0,0.003,0.472404718399
image_03,1,0.003,0.467881321907
image_03,2,0.003,0.463494241238
image_03,0,0.004,0.467146039009
image_03,1,0.004,0.463030934334
image_03,2,0.004,0.455456972122
image_03,0,0.005,0.465428292751
image_03,1,0.005,0.483011662960
image_03,2,0.005,0.457581698895
