threshold,n_runs,mean,std_across_seed_means,delta_vs_baseline
0.000,24,0.509497,0.005223,+0.000000
0.001,24,0.521157,0.003105,+0.011660
0.002,24,0.523512,0.001690,+0.014015
0.003,24,0.522290,0.003857,+0.012794
0.004,24,0.522394,0.001036,+0.012897
0.005,24,0.527953,0.001239,+0.018456
0.006,24,0.522713,0.001667,+0.013216
0.007,24,0.520026,0.000903,+0.010529
0.008,24,0.522788,0.005841,+0.013291
0.009,24,0.517464,0.004500,+0.007967
0.010,24,0.513613,0.004635,+0.004116
0.011,24,0.479014,0.002736,-0.030483
0.012,24,0.325137,0.002383,-0.184360
